title,price,km,year,link,imgSrc
Toyota Celica Cabrio T 18,8.300 €,208.500 km,1992,https://www.ebay-kleinanzeigen.de/s-anzeige/toyota-celica-cabrio-t-18/2400282286-216-8339,https://img.ebay-kleinanzeigen.de/api/v1/prod-ads/images/c9/c9896cc7-59a8-43cb-a4bd-1936e822f047?rule=$_3.JPG
Toyota Celica 1.8 S S,9.500 €,76.500 km,2000,https://www.ebay-kleinanzeigen.de/s-anzeige/toyota-celica-1-8-s-s/2400023822-216-4087,https://img.ebay-kleinanzeigen.de/api/v1/prod-ads/images/51/5120fb45-5caa-4a4a-bc9f-d9eca8d9f6f4?rule=$_3.JPG
Toyota Celica T16 Cabrio Targa,2.900 € VB,109.000 km,1989,https://www.ebay-kleinanzeigen.de/s-anzeige/toyota-celica-t16-cabrio-targa/2399576237-216-9366,https://img.ebay-kleinanzeigen.de/api/v1/prod-ads/images/47/47c3578d-b485-46c1-80c1-466f6692be89?rule=$_3.JPG
Toyota Celica Liftback TA28 inkl. Ersatzteile,15.000 € VB,61.323 km,1976,https://www.ebay-kleinanzeigen.de/s-anzeige/toyota-celica-liftback-ta28-inkl-ersatzteile/2399311715-216-1244,https://img.ebay-kleinanzeigen.de/api/v1/prod-ads/images/3b/3bd295f3-4a5e-49e4-9306-32dca0a00fc2?rule=$_3.JPG
Toyota Celica T23 / Bastlerfahrzeug,1.400 €,143.000 km,2001,https://www.ebay-kleinanzeigen.de/s-anzeige/toyota-celica-t23-bastlerfahrzeug/2399100232-216-16714,https://img.ebay-kleinanzeigen.de/api/v1/prod-ads/images/be/bec390ad-f31f-4037-9904-01d6ea8b62e5?rule=$_3.JPG
Toyota Celica T23 Tüv neu,3.300 €,269.300 km,2000,https://www.ebay-kleinanzeigen.de/s-anzeige/toyota-celica-t23-tuev-neu/2399082009-216-1449,https://img.ebay-kleinanzeigen.de/api/v1/prod-ads/images/98/98bb6523-c958-4b06-a396-a1d94bc46142?rule=$_3.JPG
"Toyota Celica 2.0 GTI 16V Servo,EFH,Ahk,Airbag",7.590 €,211.900 km,1992,https://www.ebay-kleinanzeigen.de/s-anzeige/toyota-celica-2-0-gti-16v-servo-efh-ahk-airbag/2398869986-216-3136,https://img.ebay-kleinanzeigen.de/api/v1/prod-ads/images/aa/aab48f16-afb1-430a-825f-ac6defaae1b6?rule=$_3.JPG
Toyota Celica t18 Projekt,1.400 € VB,220.000 km,1992,https://www.ebay-kleinanzeigen.de/s-anzeige/toyota-celica-t18-projekt/2398432332-216-3751,https://img.ebay-kleinanzeigen.de/api/v1/prod-ads/images/44/44c13523-6070-4765-9681-5154f8674255?rule=$_3.JPG
Toyota Celica,15.000 €,61.323 km,1976,https://www.ebay-kleinanzeigen.de/s-anzeige/toyota-celica/2398430219-216-1244,https://img.ebay-kleinanzeigen.de/api/v1/prod-ads/images/de/def8fe89-26b0-4b23-b377-fcc95072477c?rule=$_3.JPG
Toyota Celica T20 mit Boddykit Oldtimer fähig,3.200 € VB,224.850 km,1992,https://www.ebay-kleinanzeigen.de/s-anzeige/toyota-celica-t20-mit-boddykit-oldtimer-faehig/2398425262-216-7789,https://img.ebay-kleinanzeigen.de/api/v1/prod-ads/images/9d/9d8d2462-ef98-42ea-a8a1-fc42b9419665?rule=$_3.JPG
Celica Cabrio T 18,8.300 € VB,208.500 km,1992,https://www.ebay-kleinanzeigen.de/s-anzeige/celica-cabrio-t-18/2398023265-216-8339,https://img.ebay-kleinanzeigen.de/api/v1/prod-ads/images/26/266197c6-15ea-4388-ad87-0c7c95a9470e?rule=$_3.JPG
Toyota Celica 1.8 I-16V  S,4.900 €,119.200 km,2002,https://www.ebay-kleinanzeigen.de/s-anzeige/toyota-celica-1-8-i-16v-s/2397967933-216-7478,https://img.ebay-kleinanzeigen.de/api/v1/prod-ads/images/d9/d975d472-9166-41fb-8535-f15803acd58a?rule=$_3.JPG
Toyota Celica T23,1.000 €,210.000 km,2000,https://www.ebay-kleinanzeigen.de/s-anzeige/toyota-celica-t23/2397925619-216-1186,https://img.ebay-kleinanzeigen.de/api/v1/prod-ads/images/8a/8a154354-1245-4c84-a4f5-87709d38a10e?rule=$_3.JPG
Toyota Celica T16,4.300 €,79.000 km,1988,https://www.ebay-kleinanzeigen.de/s-anzeige/toyota-celica-t16/2397331194-216-8731,https://img.ebay-kleinanzeigen.de/api/v1/prod-ads/images/d6/d6ce0709-700b-4172-a333-f5b0112236dd?rule=$_3.JPG
Toyota Celica ST. - Garagenfund -Oldtimer orig. 4500 km,4.000 €,45.000 km,1979,https://www.ebay-kleinanzeigen.de/s-anzeige/toyota-celica-st-garagenfund-oldtimer-orig-4500-km/2397294844-216-303,https://img.ebay-kleinanzeigen.de/api/v1/prod-ads/images/07/07e63e66-1589-4f1f-9efd-a87bbca1e951?rule=$_3.JPG
Toyota Celica,20.000 € VB,94.120 km,2002,https://www.ebay-kleinanzeigen.de/s-anzeige/toyota-celica/2396818840-216-3070,https://img.ebay-kleinanzeigen.de/api/v1/prod-ads/images/b5/b58f347e-0b54-464f-ab0d-e8737f05db3f?rule=$_3.JPG
Toyota Celica Sti  JT164ATJ000105078,1 €,Gesuch,175.000 km,https://www.ebay-kleinanzeigen.de/s-anzeige/toyota-celica-sti-jt164atj000105078/2396256944-216-4925,
Toyota celica TS 2005 tuv neu,4.900 €,265.000 km,2005,https://www.ebay-kleinanzeigen.de/s-anzeige/toyota-celica-ts-2005-tuv-neu/2395947708-216-3384,https://img.ebay-kleinanzeigen.de/api/v1/prod-ads/images/b6/b6c1d460-a23f-466a-a909-a093ef0a252e?rule=$_3.JPG
Toyota Celica GTI,VB,188.648 km,1990,https://www.ebay-kleinanzeigen.de/s-anzeige/toyota-celica-gti/2395924375-216-253,https://img.ebay-kleinanzeigen.de/api/v1/prod-ads/images/53/53519cf9-5cbe-406c-a2e5-2bc0a1bb5206?rule=$_3.JPG
Toyota Celica t23 1ZZ/Tausch Möglich/ Mini usw…,1.700 €,336.000 km,2000,https://www.ebay-kleinanzeigen.de/s-anzeige/toyota-celica-t23-1zz-tausch-moeglich-mini-usw-/2395554503-216-6433,https://img.ebay-kleinanzeigen.de/api/v1/prod-ads/images/dd/dd27f975-c309-4d49-9a4d-1781e36f3cf6?rule=$_3.JPG
Toyota Celica 2000 Fastback Coupé - HU/AU € H-Kennz.,VB,46.000 km,1980,https://www.ebay-kleinanzeigen.de/s-anzeige/toyota-celica-2000-fastback-coup-hu-au-h-kennz-/2395127935-216-2164,https://img.ebay-kleinanzeigen.de/api/v1/prod-ads/images/02/0299e2eb-a3c5-4b24-8b4b-cc3b8bde051e?rule=$_3.JPG
Toyota Celica TA 65,5.200 €,145.000 km,1984,https://www.ebay-kleinanzeigen.de/s-anzeige/toyota-celica-ta-65/2394887754-216-7042,https://img.ebay-kleinanzeigen.de/api/v1/prod-ads/images/1a/1a146ed2-d386-44bc-8d94-b1e93e903530?rule=$_3.JPG
Toyota Celica 1.8 S S,2.500 €,176.000 km,2000,https://www.ebay-kleinanzeigen.de/s-anzeige/toyota-celica-1-8-s-s/2394823855-216-4816,https://img.ebay-kleinanzeigen.de/api/v1/prod-ads/images/8e/8e6a5b04-a33c-4c0f-94b3-76e7cebe2995?rule=$_3.JPG
"Toyota Celica T23 , Leder Sitzhzg.",4.750 € VB,221.750 km,2004,https://www.ebay-kleinanzeigen.de/s-anzeige/toyota-celica-t23-leder-sitzhzg-/2394696459-216-1901,https://img.ebay-kleinanzeigen.de/api/v1/prod-ads/images/c5/c5f5842a-04fd-4ea8-8f3a-b16a41e2e992?rule=$_3.JPG
"Toyota Celica T23 Showcar inkl. Body-Kit, NUR 23.700km",13.200 €,23.700 km,2001,https://www.ebay-kleinanzeigen.de/s-anzeige/toyota-celica-t23-showcar-inkl-body-kit-nur-23-700km/2394382290-216-1676,https://img.ebay-kleinanzeigen.de/api/v1/prod-ads/images/3f/3f54850c-9442-4f9f-a9ac-3c6665fa1ba2?rule=$_3.JPG
